,sdate,block,vid,A_harv,B_harv,loss,sweetness
399,2017/03/08,D,v1,20,0.9,0.6,7.5
400,2017/03/08,E,v1,30.1,2.9,0.3,9
401,2017/03/09,A,v2,1,0,0.1,11
402,2017/03/09,A,v3,1.3,0,0.1,13
403,2017/03/09,D,v1,5.2,4.3,0.4,8.8
404,2017/03/09,E,v1,2.8,0.3,0.1,11
405,2017/03/10,A,v2,1.1,0,0.1,10
406,2017/03/10,A,v3,1,0,0,13
407,2017/03/10,D,v1,8.7,5.7,0.1,8.8
408,2017/03/10,E,v1,6.3,1.3,0.1,12
409,2017/03/13,A,v2,1,0,0.1,10.5
410,2017/03/13,A,v3,2,0,0,14
411,2017/03/13,D,v1,58.8,13.2,1,8.8
412,2017/03/15,A,v2,1,0,0.1,11
413,2017/03/15,A,v3,2.5,0,0.1,13
414,2017/03/15,C,v1,0.2,0,0.1,9.5
415,2017/03/15,D,v1,41.1,14.3,0.2,8.8
416,2017/03/16,A,v2,2,0,0,12
417,2017/03/16,A,v3,2,0,0,11.5
418,2017/03/16,C,v1,0.1,0,0.1,8.5
419,2017/03/16,D,v1,25.4,4.7,0.2,9
420,2017/03/20,A,v2,2.2,0,0,0
421,2017/03/20,A,v3,3.8,0,0,0
422,2017/03/20,C,v1,1,0.2,0.2,9
423,2017/03/20,D,v1,38,11.2,0.5,8.75
424,2017/03/22,A,v2,2.6,0,0,11.5
425,2017/03/22,A,v3,3.7,0,0,10.5
426,2017/03/22,C,v1,1.8,0,0.1,9
427,2017/03/22,D,v1,65.7,7.4,0.4,8.5
428,2017/03/24,A,v2,2.3,0,0.1,11
429,2017/03/24,A,v3,3.2,0,0.1,11.5
430,2017/03/24,C,v1,2.2,0,0,9.5
431,2017/03/24,D,v1,53.1,11.8,0.4,8.5
432,2017/03/27,A,v2,1.8,0,0.2,11
433,2017/03/27,A,v3,5,0,0.1,10
434,2017/03/27,C,v1,1.8,0,0,10
435,2017/03/27,D,v1,34.7,6.5,0.3,9
436,2017/03/29,A,v2,1.5,0,0,11
437,2017/03/29,A,v3,3,0,0,11
438,2017/03/29,C,v1,3.9,0.5,0,0
439,2017/03/29,D,v1,24.2,4.8,0.1,9
440,2017/03/30,D,v1,34.3,3,0.3,8
441,2017/03/31,A,v2,3,0,0.1,10
442,2017/03/31,A,v3,3.8,0,0.1,10.5
443,2017/03/31,C,v1,9.5,1.5,0,10
444,2017/03/31,D,v1,23.9,5.7,0.1,9.5
445,2017/04/03,A,v2,4.8,0,0.1,10
446,2017/04/03,A,v3,3.4,0,0.1,10
447,2017/04/03,C,v1,2.5,0.3,0,8.5
448,2017/04/03,D,v1,26.2,5.4,0.1,9
449,2017/04/05,A,v2,5.3,0,0,10
450,2017/04/05,A,v3,1.1,0,0,11
451,2017/04/05,C,v1,6.4,0.6,0,9
452,2017/04/05,D,v1,37.9,2.7,0.1,0
453,2017/04/07,A,v2,2.4,0,0.1,10.5
454,2017/04/07,A,v3,2.3,0,0,11
455,2017/04/07,C,v1,2.8,1.5,0,9
456,2017/04/07,D,v1,45.4,4.4,0.2,10
457,2017/04/10,A,v2,4,0,0,9.5
458,2017/04/10,A,v3,2,0,0,10
459,2017/04/10,B,v2,2.8,0,0.8,7.5
460,2017/04/10,C,v1,21.2,1.5,0.2,12
461,2017/04/10,D,v1,53.2,4.8,0.9,9
462,2017/04/12,A,v2,0,0,0,12
463,2017/04/12,A,v3,0,0,0,0
464,2017/04/12,B,v2,0,0,0,0
465,2017/04/12,B,v2,0,0,0,0
466,2017/04/12,C,v1,18,0.9,0,0
467,2017/04/12,D,v1,106.7,8,0.5,10
468,2017/04/13,A,v2,4.9,0,0.1,8.5
469,2017/04/13,A,v3,3.4,0,0,10.5
470,2017/04/13,B,v2,2.5,0,0.4,12
471,2017/04/14,A,v2,1.8,0,0.1,7.5
472,2017/04/14,A,v3,3.6,0,0.2,12
473,2017/04/14,B,v2,0.6,0,0.2,10
474,2017/04/14,C,v1,0,0,0,0
475,2017/04/14,D,v1,79.4,2.3,0.9,9.5
476,2017/04/15,C,v1,28.2,0.6,0,10.3
477,2017/04/17,B,v2,6.6,0,1.2,9.5
478,2017/04/17,C,v1,32.6,3.3,0.5,10
479,2017/04/17,D,v1,83.6,12.3,2.3,9.5
480,2017/04/19,B,v2,6.3,0,0.6,10
481,2017/04/19,C,v1,23.6,3.8,0.1,10.5
482,2017/04/19,D,v1,25.4,5,0.2,9
483,2017/04/21,B,v2,3.5,0,0.8,10.5
484,2017/04/21,B,v2,6.6,0,0.1,10
485,2017/04/21,C,v1,13.1,0.6,0.5,11
486,2017/04/21,D,v1,52.2,8.5,0.7,9.5
487,2017/04/24,B,v2,3,0,0.4,9.5
488,2017/04/24,B,v2,11.3,0,0.1,10
489,2017/04/25,B,v3,0.4,0,0,10
490,2017/04/25,C,v1,27.1,0.8,0,9.5
491,2017/04/25,D,v1,66.4,13.3,0.5,9.5
492,2017/04/26,B,v2,6.1,0,0.3,10
493,2017/04/26,B,v2,8.6,0,0.1,10
494,2017/04/26,B,v3,0.3,0,0,9.5
495,2017/04/26,C,v1,34.8,3.4,0.4,10
496,2017/04/26,D,v1,23.1,4.6,0.1,9.5
497,2017/04/28,B,v2,11.8,0,0.1,10
503,2016/12/16,B,v4,6.3,7.7,7.7,0
504,2017/06/02,B,v2,6.8,0,0,10
505,2017/06/02,B,v4,2.3,0,0,9
506,2017/06/02,B,v3,2.5,0,0,9
507,2017/06/02,C,v1,1.3,2.6,1.4,10
508,2017/06/02,E,v1,34.2,11,0.7,0
509,2017/06/02,F,v1,52.6,14.2,0.1,0
510,2017/06/02,F,v2,3.2,0,0.1,10.5
511,2017/06/05,B,v2,9.2,0,0.1,10.5
512,2017/06/05,C,v1,3.5,5.3,1.6,0
513,2017/06/05,E,v1,89.7,44.8,1.7,0
514,2017/06/06,B,v4,6.3,0,0.1,9
515,2017/06/06,B,v3,5.1,0,0,10
516,2017/06/06,F,v1,69.6,29,1.8,0
517,2017/06/06,F,v2,7.5,0,0,10
518,2017/06/07,B,v2,14.5,0,0,9.5
519,2017/06/07,B,v4,3.6,0,0.1,9
520,2017/06/07,B,v3,3,0,0,10
521,2017/06/07,C,v1,1,4.4,0.7,0
522,2017/06/07,E,v1,84.9,16,1.2,0
523,2017/06/07,F,v1,41.7,17.3,0.2,0
524,2017/06/07,F,v2,6.4,0,0,10.5
525,2017/06/09,E,v1,112.3,22.8,2.3,0
526,2017/06/09,F,v1,45.6,32.4,4.2,0
527,2017/06/09,F,v2,4.7,0,0,10
528,2017/06/10,B,v2,12.7,0,0.1,10
529,2017/06/10,B,v4,3.4,0,0.1,7
530,2017/06/10,B,v3,3.5,0,0,10
531,2017/06/10,C,v1,3,3.9,0.5,0
532,2017/06/12,B,v2,13,0,0,10
533,2017/06/12,B,v4,4,0,0.1,9
534,2017/06/12,B,v3,3.2,0,0.1,10
535,2017/06/12,C,v1,1,5.3,0.4,0
536,2017/06/12,E,v1,94.7,45.7,3.5,0
537,2017/06/12,F,v1,32.9,23.8,3,0
538,2017/06/12,F,v2,4.5,0,0.1,10
539,2017/06/14,B,v2,11.5,0,0.1,9.5
540,2017/06/14,B,v4,3,0,0.1,7.5
541,2017/06/14,B,v3,1.5,0,0.1,9
542,2017/06/14,E,v1,65.2,49.1,8,10
543,2017/06/14,F,v1,33.1,45.2,4.7,0
544,2017/06/14,F,v2,5.4,0,0.1,11
545,2017/06/15,C,v1,5,13.5,1.7,9
546,2017/06/19,A,v2,1.1,0,0.1,11
547,2017/06/19,A,v3,1.1,0,0,10
548,2017/06/19,B,v2,11.4,0,0.1,11
549,2017/06/19,B,v4,2.7,0,0.1,8
550,2017/06/19,B,v3,1,0,0,10
551,2017/06/19,E,v1,59.6,60.1,6.6,7.5
552,2017/06/19,F,v1,23.4,37.4,5.2,0
553,2017/06/19,F,v2,5.2,0,0.1,11
554,2017/06/20,C,v1,14.9,39,1.5,0
555,2017/06/21,A,v2,2,0,0.1,7
556,2017/06/21,A,v3,3,0,0.1,8
557,2017/06/21,B,v2,10.5,0,0.1,11
558,2017/06/21,B,v4,2.1,0,0.1,8
559,2017/06/21,B,v3,3,0,0,9
560,2017/06/21,C,v1,5.5,14.5,0.7,7.5
561,2017/06/21,E,v1,38.9,34.8,0.7,0
562,2017/06/21,F,v1,14.6,19.9,3.7,0
563,2017/06/21,F,v2,4,0,0.1,10
564,2017/06/23,A,v2,10.5,0,0.1,7
565,2017/06/23,A,v3,13.5,0,0.1,8
566,2017/06/23,B,v2,7,0,0.1,10
567,2017/06/23,B,v4,3.7,0,0.1,7.5
568,2017/06/23,B,v3,3.5,0,0.1,9
569,2017/06/23,C,v1,4.5,2.4,0.4,0
570,2017/06/23,E,v1,50.9,30.9,2.3,0
571,2017/06/23,F,v1,28.2,29.2,2.3,0
572,2017/06/23,F,v2,2.5,0,0.1,12
573,2017/06/26,A,v2,32.7,0,0.2,0
574,2017/06/26,A,v3,11,0,0.2,0
575,2017/06/26,B,v2,15.9,0,0.1,11
576,2017/06/26,B,v4,7.8,0,0.1,9
577,2017/06/26,B,v3,2.7,0,0.1,10
578,2017/06/26,F,v1,24.8,39.3,2.5,0
579,2017/06/26,F,v2,3.5,0,0.1,10
580,2017/06/27,C,v1,13.5,33.1,0.4,11
581,2017/06/27,E,v1,52,71,1.9,0
582,2017/06/28,A,v2,14,0,0.1,8.5
583,2017/06/28,A,v3,3,0,0.1,7
584,2017/06/28,B,v2,10.4,0,0.1,11
585,2017/06/28,B,v4,2.6,0,0.1,8.5
586,2017/06/28,B,v3,1.6,0,0.1,10
587,2017/06/28,E,v1,19.1,10.1,0.7,8
588,2017/06/28,F,v1,10.3,2.9,1.9,0
589,2017/06/28,F,v2,1.5,0,0.1,10
590,2017/06/29,C,v1,4,9,0.1,10
591,2017/06/30,A,v2,9.6,0,0.1,0
592,2017/06/30,B,v2,11.6,0,0.1,10
593,2017/06/30,B,v4,3.1,0,0.1,7
594,2017/06/30,B,v3,0.4,0,0,10
595,2017/06/30,E,v1,23,62.2,1,0
596,2017/06/30,F,v1,21,30.5,1.5,0
597,2017/06/30,F,v2,3.1,0,0.1,10
598,2017/07/01,C,v1,1.1,0.3,0,0
599,2017/07/03,A,v2,8.3,0,0.1,0
600,2017/07/03,A,v3,7.5,0,0.1,0
601,2017/07/03,B,v2,9.9,0,0.1,10
602,2017/07/03,B,v4,2.8,0,0.1,6
603,2017/07/03,B,v3,1.5,0,0.1,9
604,2017/07/04,C,v1,1.5,1.1,0,0
605,2017/07/04,E,v1,27,66.3,2.3,0
606,2017/07/04,F,v1,26,39.7,2.8,0
607,2017/07/04,F,v2,3.8,0,0,10
608,2017/07/05,A,v2,11,0,0.1,7.5
609,2017/07/05,A,v3,2.4,0,0,9
610,2017/07/05,B,v2,2.9,0,0.1,9
611,2017/07/05,B,v4,1.9,0,0.1,7.5
612,2017/07/05,B,v3,0.7,0,0.1,10
613,2017/07/05,F,v2,1.6,0,0.1,10
614,2017/07/07,A,v2,13.3,0,0.1,10
615,2017/07/07,A,v3,6.3,0,0,7
616,2017/07/07,B,v2,2.5,0,0,10
617,2017/07/07,B,v4,1.2,0,0,7
618,2017/07/07,B,v3,0.7,0,0,10
619,2017/07/07,C,v1,3.1,5.5,0.7,0
620,2017/07/07,E,v1,10.2,40.9,3.4,0
621,2017/07/07,F,v1,23.3,26.5,2.7,0
622,2017/07/07,F,v2,1.2,0,0,10
623,2017/07/10,A,v3,17.5,0,0.1,8
624,2017/07/10,B,v2,7.5,0,0.1,7.5
625,2017/07/10,B,v4,2.5,0,0.1,7
626,2017/07/10,B,v3,1.7,0,0.1,9
627,2017/07/10,C,v1,1.1,3.5,0.2,0
628,2017/07/10,E,v1,10.8,23.4,6,0
629,2017/07/10,F,v1,10.4,7.4,2.8,0
630,2017/07/10,F,v2,2.5,0,0.1,10
631,2017/07/12,A,v2,16.6,0,0.1,7
632,2017/07/12,A,v3,5.1,0,0.1,7
633,2017/07/12,B,v2,4.4,0,0.1,9
634,2017/07/12,B,v4,1.9,0,0.1,7.5
635,2017/07/12,B,v3,0.9,0,0,10
636,2017/07/12,E,v1,8.8,37.4,5.8,0
637,2017/07/12,F,v1,22.2,38.1,7,0
638,2017/07/12,F,v2,2.8,0,0.1,10
639,2017/07/14,A,v2,19.1,0,0.2,8.5
640,2017/07/14,A,v3,3.2,0,0,7.5
641,2017/07/14,B,v2,7.5,0,0.1,8
642,2017/07/14,B,v4,2.1,0,0.1,7
643,2017/07/14,B,v3,1,0,0.1,10
644,2017/07/14,C,v1,0.7,1.2,0.2,9
645,2017/07/14,E,v1,12.2,45.1,10.3,0
646,2017/07/14,F,v1,10,17.2,2.5,0
647,2017/07/14,F,v2,1.1,0,0.1,10
648,2017/07/17,A,v2,13.8,0,0.2,8
649,2017/07/17,A,v3,3.5,0,0.1,10
650,2017/07/17,B,v2,11.7,0,0.2,9
651,2017/07/17,B,v4,6.5,0,0.1,8
652,2017/07/17,B,v3,2.5,0,0.1,8.5
653,2017/07/17,E,v1,11.1,58.6,11.7,0
654,2017/07/17,F,v1,12.5,18.5,2.8,0
655,2017/07/17,F,v2,1.2,0,0,10
656,2017/07/19,A,v2,6.5,0,0.1,0
657,2017/07/19,A,v3,3.2,0,0.1,10
658,2017/07/19,B,v2,8.5,0,0.2,8
659,2017/07/19,B,v4,5.7,0,0.1,7.5
660,2017/07/19,B,v3,1.3,0,0.1,10
661,2017/07/19,E,v1,15.3,52.5,11.2,0
662,2017/07/19,F,v1,12,16.8,2,0
663,2017/07/19,F,v2,0.6,0,0,0
664,2017/07/21,A,v2,5.5,0,0.1,9
665,2017/07/21,A,v3,3.9,0,0.1,8.5
666,2017/07/21,B,v2,6.3,0,0.1,8
667,2017/07/21,B,v4,4.8,0,0.1,9
668,2017/07/21,B,v3,1,0,0.1,10
669,2017/07/21,F,v2,0.9,0,0,10
670,2017/07/22,E,v1,20.5,60.2,6.6,7
671,2017/07/22,F,v1,10.5,17.5,4.5,0
672,2017/07/24,A,v2,8.5,0,0.1,9.5
673,2017/07/24,A,v3,12.9,0,0.1,10
674,2017/07/24,B,v2,6.5,0,0.2,10
675,2017/07/24,B,v4,4.8,0,0.1,9.5
676,2017/07/24,B,v3,1.1,0,0.1,10
677,2017/07/24,E,v1,15,36.8,18.5,7
678,2017/07/24,F,v1,3.2,6.4,2.6,0
679,2017/07/24,F,v2,2.6,0,0.1,10.5
680,2017/07/25,D,v1,3,17.4,4.9,6.5
681,2017/07/26,A,v2,15.9,0,0.2,8
682,2017/07/26,A,v3,4.5,0,0.1,8
683,2017/07/26,B,v2,4.9,0,0.1,9
684,2017/07/26,B,v4,3.4,0,0.1,8
685,2017/07/26,B,v3,0.8,0,0,9
686,2017/07/26,D,v1,15.8,11.7,1.8,0
687,2017/07/26,E,v1,10.5,41.1,12.2,9
688,2017/07/26,F,v1,3.3,5.8,1.4,0
689,2017/07/26,F,v2,2,0,0.1,10
690,2017/07/28,A,v2,12.3,0,0.1,8
691,2017/07/28,A,v3,1.2,0,0.1,10
692,2017/07/28,B,v2,3.7,0,0.2,10
693,2017/07/28,B,v4,1.5,0,0.1,7
694,2017/07/28,B,v3,0.3,0,0.1,10
695,2017/07/28,D,v1,38.7,61.6,33.2,0
696,2017/07/28,E,v1,7.6,31.2,13.5,0
697,2017/07/28,F,v1,2.7,3,0.9,0
698,2017/07/28,F,v2,1.4,0,0,8
699,2017/07/31,A,v2,2.2,0,0.1,9
700,2017/07/31,A,v3,1.9,0,0,7
701,2017/07/31,B,v2,4.2,0,0.2,9
702,2017/07/31,B,v4,2.8,0,0.1,7
703,2017/07/31,B,v3,1.4,0,0,9
704,2017/07/31,D,v1,39.3,180.3,28,0
705,2017/07/31,E,v1,3.5,21,16.9,8
706,2017/07/31,F,v1,1.5,1.8,1.2,7.5
707,2017/07/31,F,v2,1,0,0.1,9
708,2017/08/02,A,v2,3.5,0,0.1,7.5
709,2017/08/02,A,v3,1,0,0.1,10
710,2017/08/02,B,v2,4.3,0,0.2,9
711,2017/08/02,B,v4,6.6,0,0.1,8
712,2017/08/02,B,v3,3,0,0.1,8.5
713,2017/08/02,D,v1,31.4,92.9,14.4,0
714,2017/08/02,E,v1,0.4,5.2,1,0
715,2017/08/02,F,v1,0.2,0.7,0.1,0
716,2017/08/02,F,v2,0.5,0,0.1,9
717,2017/08/04,A,v2,3.2,0,0.1,8
718,2017/08/04,A,v3,2.8,0,0.1,8.5
719,2017/08/04,B,v2,8,0,0.1,8.5
720,2017/08/04,B,v4,3.4,0,0.1,8
721,2017/08/04,B,v3,1.1,0,0.1,10
722,2017/08/04,D,v1,29.2,33.8,11.6,0
723,2017/08/04,E,v1,1.5,9.9,4.5,0
724,2017/08/04,F,v1,0.7,1.3,1,0
725,2017/08/04,F,v2,0.6,0,0,8
726,2017/08/07,A,v2,6.3,0,0.2,10
727,2017/08/07,A,v3,2,0,0.1,9.5
728,2017/08/07,B,v2,12.5,0,0.1,10
729,2017/08/07,B,v4,2,0,0.1,5
730,2017/08/07,B,v3,0.8,0,0.1,10
731,2017/08/07,D,v1,16,25.9,8.3,0
732,2017/08/07,E,v1,1,10.9,5,0
733,2017/08/07,F,v1,0.5,1.2,0.8,10
734,2017/08/07,F,v2,0.9,0,0.1,8
735,2017/08/09,A,v2,5.6,0,0.1,8
736,2017/08/09,A,v3,2.4,0,0.1,8
737,2017/08/09,B,v2,4.4,0,0.1,8.5
738,2017/08/09,B,v4,1,0,0.1,6
739,2017/08/09,B,v3,0.4,0,0.1,9
740,2017/08/09,D,v1,13,7,2.3,0
741,2017/08/09,E,v1,1,7,2,8
742,2017/08/09,F,v1,0.7,1.1,0.3,0
743,2017/08/09,F,v2,0.7,0,0.1,9
744,2017/08/11,A,v2,2.7,0,0.1,0
745,2017/08/11,A,v3,3.3,0,0.1,0
746,2017/08/11,B,v2,2.1,0,0.1,8.5
747,2017/08/11,B,v4,0.8,0,0.1,7
748,2017/08/11,B,v3,0.2,0,0.1,9
749,2017/08/11,D,v1,7.2,4.7,0.5,8
750,2017/08/11,E,v1,0.4,3,1.5,6.5
751,2017/08/11,F,v1,0.4,1.5,1.3,0
752,2017/08/11,F,v2,0.5,0,0.1,10
753,2017/08/14,A,v2,5.5,0,0.1,8
754,2017/08/14,A,v3,5,0,0.1,8
755,2017/08/14,B,v2,1.5,0,0.1,8
756,2017/08/14,B,v4,0.7,0,0.1,7
757,2017/08/14,B,v3,0.1,0,0,10
758,2017/08/14,D,v1,20.1,9.7,2.1,0
759,2017/08/14,E,v1,0.7,0.7,2,7
760,2017/08/16,A,v2,6.7,0,0.1,10
761,2017/08/16,A,v3,1.1,0,0.1,8
762,2017/08/16,B,v2,0.9,0,0.1,10
763,2017/08/16,B,v4,0.5,0,0.1,7
764,2017/08/16,B,v3,0.2,0,0.1,10
765,2017/08/16,D,v1,10.6,5.5,0.2,0
766,2017/08/16,E,v1,0.4,0.8,0.4,0
767,2017/08/18,A,v2,5.5,0,0.5,0
768,2017/08/18,A,v3,0.4,0,0.1,0
769,2017/08/18,D,v1,7,4.7,0.1,0
770,2017/08/18,E,v1,0.5,0.8,0.5,0
771,2017/08/21,A,v2,2.3,0,0.4,9
772,2017/08/21,A,v3,0.3,0,0.1,8.5
773,2017/08/21,D,v1,23.7,10.4,0.5,0
774,2017/08/21,E,v1,0.6,1.4,0.5,0
775,2017/08/23,A,v2,0.7,0,0.2,9
776,2017/08/23,A,v3,0.3,0,0.1,10
777,2017/08/23,D,v1,18.2,6,0.7,0
778,2017/08/23,E,v1,0.4,1,0.4,0
779,2017/08/25,A,v2,0.5,0,0.1,10
780,2017/08/25,A,v3,2,0,0,10
781,2017/08/25,D,v1,8.7,3.5,0.1,0
782,2017/08/25,E,v1,0.5,0.8,0.1,0
783,2017/08/28,A,v2,0.5,0,0.1,10
784,2017/08/28,A,v3,2,0,0.1,8
785,2017/08/28,D,v1,13.5,5.7,0.3,0
786,2017/08/28,E,v1,0.6,2,0,0
787,2017/08/30,A,v2,0.5,0,0.1,10
788,2017/08/30,A,v3,1,0,0,7
789,2017/08/30,D,v1,4.7,0.7,0.6,0
790,2017/08/30,E,v1,0.2,0.2,0.3,0
791,2017/09/01,A,v2,0.8,0,0.1,9
792,2017/09/01,A,v3,1,0,0,8
793,2017/09/01,D,v1,5.5,1.4,0.1,0
794,2017/09/04,A,v2,0.5,0,0.1,10
795,2017/09/04,A,v3,2.6,0,0,10
796,2017/09/04,D,v1,2.5,1.1,0.3,7.5
797,2017/09/06,A,v2,0.8,0,0.1,8
798,2017/09/06,A,v3,1.8,0,0.1,9.5
799,2017/09/06,D,v1,2.3,2.6,0.2,0
800,2017/09/08,A,v2,0.5,0,0.3,9
801,2017/09/08,A,v3,0.7,0,0.1,8
802,2017/09/08,D,v1,4,4.5,0.4,0
803,2017/09/11,A,v2,0.5,0,0.1,9
804,2017/09/11,A,v3,0.6,0,0.1,8
805,2017/09/11,D,v1,11.5,11,2.8,0
806,2017/09/13,A,v2,0.3,0,0.1,8.5
807,2017/09/13,A,v3,1.7,0,0.1,10.5
808,2017/09/13,D,v1,2.8,9,0.2,0
809,2017/09/15,A,v2,1,0,0.2,9
810,2017/09/15,A,v3,2.3,0,0.1,9
811,2017/09/15,D,v1,21.4,32.7,2.5,8